timestamp,open,high,low,close,volume
2024-01-01 00:00:00+00:00,42000.0,42059.81,41961.52,42000.0,669.4
2024-01-01 00:05:00+00:00,42000.0,42070.69,41950.87,42011.29,1538.89
2024-01-01 00:10:00+00:00,42011.29,42060.48,41940.79,42000.93,1503.88
2024-01-01 00:15:00+00:00,42000.93,42063.06,41914.86,41967.26,2079.6
2024-01-01 00:20:00+00:00,41967.26,42014.47,41901.47,41950.09,2876.84
2024-01-01 00:25:00+00:00,41950.09,41999.71,41859.73,41912.65,1253.68
2024-01-01 00:30:00+00:00,41912.65,41953.79,41855.02,41914.92,962.95
2024-01-01 00:35:00+00:00,41914.92,42016.88,41878.25,41965.48,864.76
2024-01-01 00:40:00+00:00,41965.48,42023.01,41911.19,41946.89,1784.08
2024-01-01 00:45:00+00:00,41946.89,41989.17,41859.51,41923.46,1892.35
2024-01-01 00:50:00+00:00,41923.46,41980.07,41868.58,41941.94,961.11
2024-01-01 00:55:00+00:00,41941.94,41991.51,41883.02,41955.42,4599.68
2024-01-01 01:00:00+00:00,41955.42,42008.83,41901.27,41959.4,999.82
2024-01-01 01:05:00+00:00,41959.4,41996.56,41887.86,41924.26,752.49
2024-01-01 01:10:00+00:00,41924.26,41971.94,41868.36,41923.15,1898.53
2024-01-01 01:15:00+00:00,41923.15,42003.41,41879.0,41949.39,4426.91
2024-01-01 01:20:00+00:00,41949.39,41984.9,41832.61,41898.64,2992.25
2024-01-01 01:25:00+00:00,41898.64,41958.63,41829.54,41881.38,3187.27
2024-01-01 01:30:00+00:00,41881.38,41918.0,41747.44,41809.72,794.26
2024-01-01 01:35:00+00:00,41809.72,41847.11,41708.16,41761.2,1195.28
2024-01-01 01:40:00+00:00,41761.2,41816.37,41642.69,41691.97,942.83
2024-01-01 01:45:00+00:00,41691.97,41756.71,41647.71,41683.15,827.18
2024-01-01 01:50:00+00:00,41683.15,41720.31,41576.03,41635.6,1529.35
2024-01-01 01:55:00+00:00,41635.6,41702.41,41588.38,41645.77,1110.97
2024-01-01 02:00:00+00:00,41645.77,41700.64,41607.78,41651.64,1728.2
2024-01-01 02:05:00+00:00,41651.64,41691.72,41608.08,41644.64,1590.76
2024-01-01 02:10:00+00:00,41644.64,41696.77,41488.09,41550.31,2325.54
2024-01-01 02:15:00+00:00,41550.31,41597.79,41471.19,41530.16,2444.48
2024-01-01 02:20:00+00:00,41530.16,41576.07,41464.66,41528.35,2582.31
2024-01-01 02:25:00+00:00,41528.35,41594.62,41471.72,41532.59,1473.31
2024-01-01 02:30:00+00:00,41532.59,41584.32,41417.19,41475.39,795.07
2024-01-01 02:35:00+00:00,41475.39,41535.37,41419.44,41457.56,1437.69
2024-01-01 02:40:00+00:00,41457.56,41492.11,41374.16,41421.05,1127.62
2024-01-01 02:45:00+00:00,41421.05,41485.39,41325.37,41390.89,3249.09
2024-01-01 02:50:00+00:00,41390.89,41471.07,41326.94,41430.41,3237.88
2024-01-01 02:55:00+00:00,41430.41,41480.52,41352.5,41400.3,1735.05
2024-01-01 03:00:00+00:00,41400.3,41435.63,41337.06,41399.09,3178.2
2024-01-01 03:05:00+00:00,41399.09,41472.17,41360.17,41432.04,1274.39
2024-01-01 03:10:00+00:00,41432.04,41481.03,41351.02,41410.28,1990.8
2024-01-01 03:15:00+00:00,41410.28,41468.26,41349.45,41406.12,1024.94
2024-01-01 03:20:00+00:00,41406.12,41468.96,41367.28,41410.24,2516.58
2024-01-01 03:25:00+00:00,41410.24,41461.33,41361.09,41412.61,2302.16
2024-01-01 03:30:00+00:00,41412.61,41453.9,41325.58,41366.95,1119.38
2024-01-01 03:35:00+00:00,41366.95,41422.96,41329.67,41369.79,3009.72
2024-01-01 03:40:00+00:00,41369.79,41465.79,41313.79,41420.38,2830.29
2024-01-01 03:45:00+00:00,41420.38,41458.89,41319.66,41362.71,2772.72
2024-01-01 03:50:00+00:00,41362.71,41453.03,41309.28,41394.7,756.92
2024-01-01 03:55:00+00:00,41394.7,41458.33,41346.1,41399.14,1252.3
2024-01-01 04:00:00+00:00,41399.14,41437.88,41329.3,41375.24,1644.17
2024-01-01 04:05:00+00:00,41375.24,41484.18,41319.81,41449.73,1821.85
2024-01-01 04:10:00+00:00,41449.73,41535.95,41409.15,41478.17,1320.72
2024-01-01 04:15:00+00:00,41478.17,41538.01,41380.4,41433.4,4133.36
2024-01-01 04:20:00+00:00,41433.4,41471.71,41373.83,41436.18,1958.59
2024-01-01 04:25:00+00:00,41436.18,41503.94,41370.32,41457.68,1128.67
2024-01-01 04:30:00+00:00,41457.68,41513.86,41416.74,41450.64,1550.87
2024-01-01 04:35:00+00:00,41450.64,41520.35,41399.91,41476.12,1045.07
2024-01-01 04:40:00+00:00,41476.12,41535.47,41425.15,41473.63,5479.2
2024-01-01 04:45:00+00:00,41473.63,41533.08,41416.26,41498.54,3557.1
2024-01-01 04:50:00+00:00,41498.54,41604.17,41452.49,41552.27,1456.37
2024-01-01 04:55:00+00:00,41552.27,41592.62,41480.65,41527.0,725.75
2024-01-01 05:00:00+00:00,41527.0,41591.54,41489.06,41534.59,1165.18
2024-01-01 05:05:00+00:00,41534.59,41568.34,41474.38,41517.27,1857.91
2024-01-01 05:10:00+00:00,41517.27,41578.67,41483.38,41522.03,1409.45
2024-01-01 05:15:00+00:00,41522.03,41570.34,41435.43,41477.66,2176.18
2024-01-01 05:20:00+00:00,41477.66,41533.93,41410.76,41456.04,655.11
2024-01-01 05:25:00+00:00,41456.04,41493.01,41399.4,41448.72,606.4
2024-01-01 05:30:00+00:00,41448.72,41543.11,41405.14,41482.24,1655.28
2024-01-01 05:35:00+00:00,41482.24,41579.99,41446.44,41525.0,1155.29
2024-01-01 05:40:00+00:00,41525.0,41559.37,41441.45,41475.54,3330.45
2024-01-01 05:45:00+00:00,41475.54,41537.53,41381.8,41445.87,1128.7
2024-01-01 05:50:00+00:00,41445.87,41508.73,41404.64,41470.0,870.55
2024-01-01 05:55:00+00:00,41470.0,41515.81,41349.65,41395.64,1319.94
2024-01-01 06:00:00+00:00,41395.64,41440.38,41334.48,41378.39,885.35
2024-01-01 06:05:00+00:00,41378.39,41437.05,41319.55,41374.76,1367.61
2024-01-01 06:10:00+00:00,41374.76,41479.81,41333.59,41421.57,2773.2
2024-01-01 06:15:00+00:00,41421.57,41483.24,41365.61,41447.27,1286.54
2024-01-01 06:20:00+00:00,41447.27,41508.69,41370.06,41435.07,788.89
2024-01-01 06:25:00+00:00,41435.07,41473.49,41363.93,41421.32,1078.13
2024-01-01 06:30:00+00:00,41421.32,41478.19,41353.06,41411.99,2074.64
2024-01-01 06:35:00+00:00,41411.99,41506.08,41346.63,41468.78,1150.11
2024-01-01 06:40:00+00:00,41468.78,41515.52,41398.75,41452.8,1953.05
2024-01-01 06:45:00+00:00,41452.8,41489.58,41387.53,41441.47,2239.71
2024-01-01 06:50:00+00:00,41441.47,41509.96,41391.77,41454.62,1132.05
2024-01-01 06:55:00+00:00,41454.62,41501.07,41413.38,41450.12,2136.77
2024-01-01 07:00:00+00:00,41450.12,41501.92,41378.39,41442.76,2633.96
2024-01-01 07:05:00+00:00,41442.76,41508.96,41366.56,41401.2,1944.0
